"","state_data","size_data","rate_data","year"
"175","KY",11164,16.9,2014
"176","LA",6763,12.5,2014
"177","ME",9106,16.4,2014
"178","MD",12527,13.5,2014
"179","MA",15589,17.6,2014
"180","MI",8440,15.3,2014
"181","MN",16380,11.8,2014
"182","MS",4189,12.5,2014
"183","MO",7057,14.5,2014
"184","MT",7483,13.4,2014
"185","NE",22355,12.2,2014
"186","NV",3741,12.3,2014
"187","NH",6161,14.1,2014
"188","NJ",13002,12.4,2014
"189","NM",8915,14.4,2014
"190","NY",6847,15,2014
"191","NC",7265,11.5,2014
"192","ND",7771,12.2,2014
"193","OH",10884,15,2014
"194","OK",8406,14.3,2014
"195","OR",5214,16.6,2014
"196","PA",10976,14.3,2014
"197","RI",6428,15.2,2014
"198","SC",10994,13.1,2014
"199","SD",7375,11.2,2014
"200","TN",5119,14.4,2014
"201","TX",15379,11.1,2014
"202","UT",14966,13.4,2014
"203","VT",6448,16.5,2014
"204","VA",9442,12.7,2014
"205","WA",10038,14.8,2014
"206","WV",6178,14.5,2014
"207","WI",7032,12.7,2014
"208","WY",6393,12,2014
"209","U.S. Total**",476217,13.6,2016
"210","AL",7015,14.9,2016
"211","AK",2906,14.2,2016
"212","AZ",10903,14.6,2016
"213","AR",5279,14.3,2016
"214","CA",11370,12.8,2016
"215","CO",14908,13.7,2016
"216","CT",11000,15.6,2016
"217","DE",4046,12.8,2016
"218","DC",3837,15.2,2016
"219","FL",36846,11,2016
"220","GA",5361,13.4,2016
"221","HI",8069,17.3,2016
"222","ID",5251,12.6,2016
"223","IL",4757,14.2,2016
"224","IN",11048,14.4,2016
"225","IA",7244,12.1,2016
"226","KS",12149,13.1,2016
"227","KY",10227,15.2,2016
"228","LA",5237,14.2,2016
"229","ME",10004,16.7,2016
"230","MD",18413,14,2016
"231","MA",8385,15.3,2016
"232","MI",11984,16.3,2016
"233","MN",16770,11.2,2016
"234","MS",5112,12.7,2016
"235","MO",7097,14.4,2016
"236","MT",5954,12.8,2016
"237","NE",15144,12.4,2016
"238","NV",4329,11.6,2016
"239","NH",6391,16.4,2016
"240","NJ",7640,12,2016
"241","NM",6008,16.3,2016
"242","NY",34113,13.8,2016
"243","NC",6523,12.5,2016
"244","ND",5734,12.8,2016
"245","OH",12350,14,2016
"246","OK",6855,14.1,2016
"247","OR",5421,17.2,2016
"248","PA",6791,14.8,2016
"249","RI",5441,15.8,2016
"250","SC",11209,13.4,2016
"251","SD",5752,9.3,2016
"252","TN",6150,16.1,2016
"253","TX",11683,12.5,2016
"254","UT",10947,13.8,2016
"255","VT",6518,15.6,2016
"256","VA",8964,13.3,2016
"257","WA",14210,14.9,2016
"258","WV",7125,16.2,2016
"259","WI",5260,11.8,2016
"260","WY",4487,13.9,2016
"261","U.S. Total**",432899,13.8,2015
"262","AL",7924,15.6,2015
"263","AK",3642,13.4,2015
